104,Dover,Delaware,39.161921,-75.526755,city
105,Tallahassee,Florida,30.4518,-84.27277,city
106,Boise,Idaho,43.613739,-116.237651,city
107,Springfield,Illinois,39.78325,-89.650373,city
108,Des Moines,Iowa,41.590939,-93.620866,city
109,Topeka,Kansas,39.04,-95.69,city
110,Frankfort,Kentucky,38.197274,-84.86311,city
111,Augusta,Maine,44.323535,-69.765261,city
112,Annapolis,Maryland,38.972945,-76.501157,city
113,Lansing,Michigan,42.7335,-84.5467,city
114,Saint Paul,Minnesota,44.95,-93.094,city
115,Jackson,Mississippi,32.32,-90.207,city
116,Jefferson City,Missouri,38.572954,-92.189283,city
117,Helana,Montana,46.595805,-112.027031,city
118,Carson City,Nevada,39.160949,-119.753877,city
119,Concord,New Hampshire,43.220093,-71.549127,city
120,Trenton,New Jersey,40.221741,-74.756138,city
121,Santa Fe,New Mexico,35.667231,-105.964575,city
122,Albany,New York,42.659829,-73.781339,city
123,Bismarck,North Dakota,48.813343,-100.779004,city
124,Salem,Oregon,44.931109,-123.029159,city
125,Harrisburg,Pennsylvania,40.269789,-76.875613,city
126,Providence,Rhode Island,41.82355,-71.422132,city
127,Columbia,South Carolina,34,-81.035,city
128,Pierre,South Dakota,44.367966,-100.336378,city
129,Salt Lake City,Utah,40.7547,-111.892622,city
130,Montpelier,Vermont,44.26639,-72.57194,city
131,Olympia,Washington,47.042418,-122.893077,city
132,Charleston,West Virginia,38.349497,-81.633294,city
133,Cheyenne,Wyoming,41.145548,-104.802042,city
